,0,1,2,3,4,5,6
0,ada,adalah,adanya,adapun,agak,agaknya,agar
1,akan,akankah,akhir,akhiri,akhirnya,aku,akulah
2,amat,amatlah,anda,andalah,antar,antara,antaranya
3,apa,apaan,apabila,apakah,apalagi,apatah,artinya
4,asal,asalkan,atas,atau,ataukah,ataupun,awal
5,awalnya,bagai,bagaikan,bagaimana,bagaimanakah,bagaimanapun,bagi
6,bagian,bahkan,bahwa,bahwasanya,baik,bakal,bakalan
7,balik,banyak,bapak,baru,bawah,beberapa,begini
8,beginian,beginikah,beginilah,begitu,begitukah,begitulah,begitupun
9,bekerja,belakang,belakangan,belum,belumlah,benar,benarkah
10,benarlah,berada,berakhir,berakhirlah,berakhirnya,berapa,berapakah
11,berapalah,berapapun,berarti,berawal,berbagai,berdatangan,beri
12,berikan,berikut,berikutnya,berjumlah,berkali-kali,berkata,berkehendak
13,berkeinginan,berkenaan,berlainan,berlalu,berlangsung,berlebihan,bermacam
14,bermacam-macam,bermaksud,bermula,bersama,bersama-sama,bersiap,bersiap-siap
15,bertanya,bertanya-tanya,berturut,berturut-turut,bertutur,berujar,berupa
16,besar,betul,betulkah,biasa,biasanya,bila,bilakah
17,bisa,bisakah,boleh,bolehkah,bolehlah,buat,bukan
18,bukankah,bukanlah,bukannya,bulan,bung,cara,caranya
19,cukup,cukupkah,cukuplah,cuma,dahulu,dalam,dan
20,dapat,dari,daripada,datang,dekat,demi,demikian
21,demikianlah,dengan,depan,di,dia,diakhiri,diakhirinya
22,dialah,diantara,diantaranya,diberi,diberikan,diberikannya,dibuat
23,dibuatnya,didapat,didatangkan,digunakan,diibaratkan,diibaratkannya,diingat
24,diingatkan,diinginkan,dijawab,dijelaskan,dijelaskannya,dikarenakan,dikatakan
25,dikatakannya,dikerjakan,diketahui,diketahuinya,dikira,dilakukan,dilalui
26,dilihat,dimaksud,dimaksudkan,dimaksudkannya,dimaksudnya,diminta,dimintai
27,dimisalkan,dimulai,dimulailah,dimulainya,dimungkinkan,dini,dipastikan
28,diperbuat,diperbuatnya,dipergunakan,diperkirakan,diperlihatkan,diperlukan,diperlukannya
29,dipersoalkan,dipertanyakan,dipunyai,diri,dirinya,disampaikan,disebut
30,disebutkan,disebutkannya,disini,disinilah,ditambahkan,ditandaskan,ditanya
31,ditanyai,ditanyakan,ditegaskan,ditujukan,ditunjuk,ditunjuki,ditunjukkan
32,ditunjukkannya,ditunjuknya,dituturkan,dituturkannya,diucapkan,diucapkannya,diungkapkan
33,dong,dua,dulu,empat,enggak,enggaknya,entah
34,entahlah,guna,gunakan,hal,hampir,hanya,hanyalah
35,hari,harus,haruslah,harusnya,hendak,hendaklah,hendaknya
36,hingga,ia,ialah,ibarat,ibaratkan,ibaratnya,ibu
37,ikut,ingat,ingat-ingat,ingin,inginkah,inginkan,ini
38,inikah,inilah,itu,itukah,itulah,jadi,jadilah
39,jadinya,jangan,jangankan,janganlah,jauh,jawab,jawaban
40,jawabnya,jelas,jelaskan,jelaslah,jelasnya,jika,jikalau
41,juga,jumlah,jumlahnya,justru,kala,kalau,kalaulah
42,kalaupun,kalian,kami,kamilah,kamu,kamulah,kan
43,kapan,kapankah,kapanpun,karena,karenanya,kasus,kata
44,katakan,katakanlah,katanya,ke,keadaan,kebetulan,kecil
45,kedua,keduanya,keinginan,kelamaan,kelihatan,kelihatannya,kelima
46,keluar,kembali,kemudian,kemungkinan,kemungkinannya,kenapa,kepada
47,kepadanya,kesampaian,keseluruhan,keseluruhannya,keterlaluan,ketika,khususnya
48,kini,kinilah,kira,kira-kira,kiranya,kita,kitalah
49,kok,kurang,lagi,lagian,lah,lain,lainnya
50,lalu,lama,lamanya,lanjut,lanjutnya,lebih,lewat
51,lima,luar,macam,maka,makanya,makin,malah
52,malahan,mampu,mampukah,mana,manakala,manalagi,masa
53,masalah,masalahnya,masih,masihkah,masing,masing-masing,mau
54,maupun,melainkan,melakukan,melalui,melihat,melihatnya,memang
55,memastikan,memberi,memberikan,membuat,memerlukan,memihak,meminta
56,memintakan,memisalkan,memperbuat,mempergunakan,memperkirakan,memperlihatkan,mempersiapkan
57,mempersoalkan,mempertanyakan,mempunyai,memulai,memungkinkan,menaiki,menambahkan
58,menandaskan,menanti,menanti-nanti,menantikan,menanya,menanyai,menanyakan
59,mendapat,mendapatkan,mendatang,mendatangi,mendatangkan,menegaskan,mengakhiri
60,mengapa,mengatakan,mengatakannya,mengenai,mengerjakan,mengetahui,menggunakan
61,menghendaki,mengibaratkan,mengibaratkannya,mengingat,mengingatkan,menginginkan,mengira
62,mengucapkan,mengucapkannya,mengungkapkan,menjadi,menjawab,menjelaskan,menuju
63,menunjuk,menunjuki,menunjukkan,menunjuknya,menurut,menuturkan,menyampaikan
64,menyangkut,menyatakan,menyebutkan,menyeluruh,menyiapkan,merasa,mereka
65,merekalah,merupakan,meski,meskipun,meyakini,meyakinkan,minta
66,mirip,misal,misalkan,misalnya,mula,mulai,mulailah
67,mulanya,mungkin,mungkinkah,nah,naik,namun,nanti
68,nantinya,nyaris,nyatanya,oleh,olehnya,pada,padahal
69,padanya,pak,paling,panjang,pantas,para,pasti
70,pastilah,penting,pentingnya,per,percuma,perlu,perlukah
71,perlunya,pernah,persoalan,pertama,pertama-tama,pertanyaan,pertanyakan
72,pihak,pihaknya,pukul,pula,pun,punya,rasa
73,rasanya,rata,rupanya,saat,saatnya,saja,sajalah
74,saling,sama,sama-sama,sambil,sampai,sampai-sampai,sampaikan
75,sana,sangat,sangatlah,satu,saya,sayalah,se
76,sebab,sebabnya,sebagai,sebagaimana,sebagainya,sebagian,sebaik
77,sebaik-baiknya,sebaiknya,sebaliknya,sebanyak,sebegini,sebegitu,sebelum
78,sebelumnya,sebenarnya,seberapa,sebesar,sebetulnya,sebisanya,sebuah
79,sebut,sebutlah,sebutnya,secara,secukupnya,sedang,sedangkan
80,sedemikian,sedikit,sedikitnya,seenaknya,segala,segalanya,segera
81,seharusnya,sehingga,seingat,sejak,sejauh,sejenak,sejumlah
82,sekadar,sekadarnya,sekali,sekali-kali,sekalian,sekaligus,sekalipun
83,sekarang,sekarang,sekecil,seketika,sekiranya,sekitar,sekitarnya
84,sekurang-kurangnya,sekurangnya,sela,selain,selaku,selalu,selama
85,selama-lamanya,selamanya,selanjutnya,seluruh,seluruhnya,semacam,semakin
86,semampu,semampunya,semasa,semasih,semata,semata-mata,semaunya
87,sementara,semisal,semisalnya,sempat,semua,semuanya,semula
88,sendiri,sendirian,sendirinya,seolah,seolah-olah,seorang,sepanjang
89,sepantasnya,sepantasnyalah,seperlunya,seperti,sepertinya,sepihak,sering
90,seringnya,serta,serupa,sesaat,sesama,sesampai,sesegera
91,sesekali,seseorang,sesuatu,sesuatunya,sesudah,sesudahnya,setelah
92,setempat,setengah,seterusnya,setiap,setiba,setibanya,setidak-tidaknya
93,setidaknya,setinggi,seusai,sewaktu,siap,siapa,siapakah
94,siapapun,sini,sinilah,soal,soalnya,suatu,sudah
95,sudahkah,sudahlah,supaya,tadi,tadinya,tahu,tahun
96,tak,tambah,tambahnya,tampak,tampaknya,tandas,tandasnya
97,tanpa,tanya,tanyakan,tanyanya,tapi,tegas,tegasnya
98,telah,tempat,tengah,tentang,tentu,tentulah,tentunya
99,tepat,terakhir,terasa,terbanyak,terdahulu,terdapat,terdiri
100,terhadap,terhadapnya,teringat,teringat-ingat,terjadi,terjadilah,terjadinya
101,terkira,terlalu,terlebih,terlihat,termasuk,ternyata,tersampaikan
102,tersebut,tersebutlah,tertentu,tertuju,terus,terutama,tetap
103,tetapi,tiap,tiba,tiba-tiba,tidak,tidakkah,tidaklah
104,tiga,tinggi,toh,tunjuk,turut,tutur,tuturnya
105,ucap,ucapnya,ujar,ujarnya,umum,umumnya,ungkap
106,ungkapnya,untuk,usah,usai,waduh,wah,wahai
107,waktu,waktunya,walau,walaupun,wong,yaitu,yakin
108,yakni,yang,,,,,
